SI#	GENE	GDS	ORGANISM	SAMPLE
134	FRY	GDS5247	Homo sapiens	6
135	FAM83B	GDS3627	Homo sapiens	58
136	IL1A	GDS5498	Homo sapiens	7
137	ESM1	GDS5247	Homo sapiens	6
138	SCUBE1	GDS5247	Homo sapiens	6
139	SNAP25	GDS5247	Homo sapiens	6
140	IL18R1	GDS5247	Homo sapiens	6
141	TC2N	GDS5247	Homo sapiens	6
142	NTS	GDS5247	Homo sapiens	6
143	EYS	GDS5040	Homo sapiens	6
144	FOXE1	GDS3627	Homo sapiens	58
145	SERPINB5	GDS3627	Homo sapiens	58
146	NPR3	GDS5247	Homo sapiens	6
147	PLAC4	GDS5247	Homo sapiens	6
148	TMPRSS15	GDS5247	Homo sapiens	6
149	ACSS3	GDS5247	Homo sapiens	6
150	NAV2	GDS5247	Homo sapiens	6
151	AFAP1-AS1	GDS3627	Homo sapiens	58
152	NTRK2	GDS3627	Homo sapiens	58
153	SERPINB13	GDS3627	Homo sapiens	58
154	DSC3	GDS3627	Homo sapiens	58
155	S100A7	GDS3627	Homo sapiens	58
156	LYPD3	GDS3627	Homo sapiens	58
157	HOPX	GDS5498	Homo sapiens	7
158	BMP5	GDS5247	Homo sapiens	6
159	CHRNA9	GDS5247	Homo sapiens	6
160	LINC01133	GDS3627	Homo sapiens	58
161	WDR72	GDS3627	Homo sapiens	58
162	C9orf152	GDS3627	Homo sapiens	58
163	KRT14	GDS3627	Homo sapiens	58
164	PTHLH	GDS3627	Homo sapiens	58
165	ELMO1	GDS5247	Homo sapiens	6
166	SERPINB3	GDS3627	Homo sapiens	58
167	GBP6	GDS3627	Homo sapiens	58
168	PEG10	GDS5247	Homo sapiens	6
169	COL12A1	GDS5247	Homo sapiens	6
170	CACNA2D3	GDS5247	Homo sapiens	6
171	ABCA8	GDS5247	Homo sapiens	6
172	GPR65	GDS5247	Homo sapiens	6
173	FOXA2	GDS3627	Homo sapiens	58
174	ADH7	GDS3627	Homo sapiens	58
175	EYA2	GDS3627	Homo sapiens	58
176	HSPD1	GDS5498	Homo sapiens	7
177	CDR1	GDS5247	Homo sapiens	6
178	KIAA1462	GDS5247	Homo sapiens	6
179	SCRN1	GDS5247	Homo sapiens	6
180	DAPL1	GDS3627	Homo sapiens	58
181	SERPINB13	GDS3627	Homo sapiens	58
182	ARSE	GDS3627	Homo sapiens	58
183	PNPLA4	GDS5247	Homo sapiens	6
184	SCN3A	GDS5247	Homo sapiens	6
185	SERPINB5	GDS5040	Homo sapiens	6
186	DEPDC1	GDS5498	Homo sapiens	7
187	SULF2	GDS5498	Homo sapiens	7
188	PHACTR2	GDS5247	Homo sapiens	6
189	ADGRV1	GDS5247	Homo sapiens	6
190	CHST4	GDS5040	Homo sapiens	6
191	PKP1	GDS3627	Homo sapiens	58
192	SPRR3	GDS3627	Homo sapiens	58
193	DST	GDS3627	Homo sapiens	58
194	CLCA2	GDS3627	Homo sapiens	58
195	INPP4B	GDS5247	Homo sapiens	6
196	DSG3	GDS3627	Homo sapiens	58
197	BNC1	GDS3627	Homo sapiens	58
198	PLA2G7	GDS5247	Homo sapiens	6
199	FLRT3	GDS5247	Homo sapiens	6
200	LY75-CD302	GDS5247	Homo sapiens	6
201	SLFN11	GDS5247	Homo sapiens	6
202	SERPINB4	GDS3627	Homo sapiens	58
203	CALML3	GDS3627	Homo sapiens	58
204	DSC3	GDS3627	Homo sapiens	58
205	TMEM27	GDS5247	Homo sapiens	6
206	ZNF804A	GDS5247	Homo sapiens	6
207	NTRK2	GDS3627	Homo sapiens	58
208	SPRR1B	GDS3627	Homo sapiens	58
209	MYO5C	GDS5247	Homo sapiens	6
210	FAM216B	GDS5247	Homo sapiens	6
211	HKDC1	GDS3627	Homo sapiens	58
212	XIST	GDS3627	Homo sapiens	58
213	NTS	GDS3627	Homo sapiens	58
214	KRT5	GDS3627	Homo sapiens	58
215	MMP1	GDS5247	Homo sapiens	6
216	PTPN20	GDS5247	Homo sapiens	6
217	SERPINB2	GDS3627	Homo sapiens	58
218	CXCL5	GDS5498	Homo sapiens	7
219	ADAMTS9	GDS5247	Homo sapiens	6
220	PTPN20	GDS5247	Homo sapiens	6
221	CRYAB	GDS5247	Homo sapiens	6
222	KRT6B	GDS3627	Homo sapiens	58
223	DSG3	GDS3627	Homo sapiens	58
224	ANO5	GDS5247	Homo sapiens	6
225	CLCA2	GDS3627	Homo sapiens	58
226	PTPN20	GDS5247	Homo sapiens	6
227	TP63	GDS3627	Homo sapiens	58
228	GBP6	GDS3627	Homo sapiens	58
229	SERPINB13	GDS3627	Homo sapiens	58
230	SPRR1A	GDS3627	Homo sapiens	58
231	HMGN5	GDS5498	Homo sapiens	7
232	ZNF618	GDS5498	Homo sapiens	7
233	IL18	GDS5247	Homo sapiens	6
234	SPRR3	GDS3627	Homo sapiens	58
235	ADAM23	GDS3627	Homo sapiens	58
236	VAV3	GDS5247	Homo sapiens	6
237	UGT1A3	GDS3627	Homo sapiens	58
238	FAM133A	GDS5247	Homo sapiens	6
239	XIST	GDS3627	Homo sapiens	58
240	DMRT2	GDS3627	Homo sapiens	58
241	NTRK2	GDS3627	Homo sapiens	58
242	FGF14	GDS5247	Homo sapiens	6
243	CP	GDS5247	Homo sapiens	6
244	XIST	GDS3627	Homo sapiens	58
245	KRT13	GDS3627	Homo sapiens	58
246	CLCA2	GDS3627	Homo sapiens	58
247	COL4A6	GDS3627	Homo sapiens	58
248	CXCL10	GDS5040	Homo sapiens	6
249	SERPINB13	GDS3627	Homo sapiens	58
250	RDX	GDS5040	Homo sapiens	6
251	RBMS1	GDS5040	Homo sapiens	6
252	THAP12	GDS5040	Homo sapiens	6
253	HELZ	GDS5040	Homo sapiens	6
254	RASSF3	GDS5040	Homo sapiens	6
255	SH3D19	GDS5040	Homo sapiens	6
256	CLDN3	GDS3627	Homo sapiens	58
257	CAP2	GDS5040	Homo sapiens	6
258	CYP2B7P	GDS5040	Homo sapiens	6
259	TMC5	GDS3627	Homo sapiens	58
260	GPAT3	GDS5040	Homo sapiens	6
261	APPBP2	GDS5040	Homo sapiens	6
262	APRT	GDS5040	Homo sapiens	6
263	ST3GAL1	GDS5040	Homo sapiens	6
264	SLC16A1	GDS3627	Homo sapiens	58
265	NRP2	GDS5040	Homo sapiens	6
266	LOC101930322	GDS3627	Homo sapiens	58
267	ABCC5	GDS3627	Homo sapiens	58
268	JAG1	GDS3627	Homo sapiens	58
269	LXN	GDS5247	Homo sapiens	6
270	PKP2	GDS5247	Homo sapiens	6
271	SESN3	GDS3627	Homo sapiens	58
272	ASPH	GDS5498	Homo sapiens	7
273	MGAT5B	GDS5498	Homo sapiens	7
274	CFH	GDS5247	Homo sapiens	6
275	CPLX2	GDS5247	Homo sapiens	6
276	IFT52	GDS5040	Homo sapiens	6
277	E2F7	GDS3627	Homo sapiens	58
278	NAP1L3	GDS5247	Homo sapiens	6
279	LYPD1	GDS5498	Homo sapiens	7
280	KCNQ3	GDS3627	Homo sapiens	58
281	SLC16A1	GDS3627	Homo sapiens	58
282	TM4SF19-TCTEX1D2	GDS5247	Homo sapiens	6
283	SPDEF	GDS5040	Homo sapiens	6
284	GPC1	GDS3627	Homo sapiens	58
285	RORC	GDS3627	Homo sapiens	58
286	F13A1	GDS5040	Homo sapiens	6
287	CDKL2	GDS3627	Homo sapiens	58
288	PTPRN	GDS5247	Homo sapiens	6
289	HGD	GDS3627	Homo sapiens	58
290	HPN	GDS3627	Homo sapiens	58
291	PKIA	GDS5247	Homo sapiens	6
292	CPVL	GDS5247	Homo sapiens	6
293	DKK1	GDS5247	Homo sapiens	6
294	LOC101928100	GDS3627	Homo sapiens	58
295	BTBD11	GDS3627	Homo sapiens	58
296	NKAIN2	GDS3627	Homo sapiens	58
297	C12orf56	GDS3627	Homo sapiens	58
298	KLHL13	GDS3627	Homo sapiens	58
299	COL4A3	GDS3627	Homo sapiens	58
300	CMAHP	GDS5040	Homo sapiens	6
301	TGFBR2	GDS5498	Homo sapiens	7
302	CALB2	GDS5247	Homo sapiens	6
303	GOLT1A	GDS3627	Homo sapiens	58
304	SERPINE1	GDS5040	Homo sapiens	6
305	DHX40	GDS5040	Homo sapiens	6
306	SLC28A3	GDS5040	Homo sapiens	6
307	NAALADL2	GDS5040	Homo sapiens	6
308	TSLP	GDS3627	Homo sapiens	58
309	SEMA5A	GDS5247	Homo sapiens	6
310	ALX1	GDS5247	Homo sapiens	6
311	S1PR5	GDS3627	Homo sapiens	58
312	CDH2	GDS5247	Homo sapiens	6
313	CDK14	GDS5247	Homo sapiens	6
314	VANGL2	GDS3627	Homo sapiens	58
315	FOXD1	GDS3627	Homo sapiens	58
316	ALOX12P2	GDS5247	Homo sapiens	6
317	FGD6	GDS5498	Homo sapiens	7
