SI#	GENE	GDS	ORGANISM	SAMPLE
5201	COX2	GDS2499	Homo sapiens	12
5202	UBC	GDS2499	Homo sapiens	12
5203	HP	GDS1312	Homo sapiens	10
5204	IGF1R	GDS1312	Homo sapiens	10
5205	HPR	GDS1312	Homo sapiens	10
5206	ATP8B1	GDS1312	Homo sapiens	10
5207	Fut2	GDS5201	Mus musculus	6
5208	Sprr2a3	GDS5201	Mus musculus	6
5209	Sprr2a3	GDS5201	Mus musculus	6
5210	WDR76	GDS5418	Homo sapiens	8
5211	Stra6	GDS5201	Mus musculus	6
5212	EGLN3	GDS5418	Homo sapiens	8
5213	KDM7A	GDS5418	Homo sapiens	8
5214	Ccdc180	GDS5201	Mus musculus	6
5215	Dnah3	GDS5201	Mus musculus	6
5216	Ccdc180	GDS5201	Mus musculus	6
5217	Spef2	GDS5201	Mus musculus	6
5218	Spef2	GDS5201	Mus musculus	6
5219	Cfap43	GDS5201	Mus musculus	6
5220	Spef2	GDS5201	Mus musculus	6
5221	Hmcn1	GDS5201	Mus musculus	6
5222	Hmcn1	GDS5201	Mus musculus	6
5223	Fat3	GDS5201	Mus musculus	6
5224	ADCY1	GDS2506	Homo sapiens	51
5225	CALML4	GDS2506	Homo sapiens	51
5226	TMEM45A	GDS5410	Homo sapiens	8
5227	FOS	GDS5410	Homo sapiens	8
5228	SNORD77	GDS5418	Homo sapiens	8
5229	SNORD77	GDS5418	Homo sapiens	8
5230	HERPUD1	GDS5418	Homo sapiens	8
5231	PDIA4	GDS5418	Homo sapiens	8
5232	ASNS	GDS5418	Homo sapiens	8
5233	CRELD2	GDS5418	Homo sapiens	8
5234	DNAJB9	GDS5418	Homo sapiens	8
5235	GADD45A	GDS5418	Homo sapiens	8
5236	ZFAND2A	GDS5418	Homo sapiens	8
5237	IL1A	GDS5410	Homo sapiens	8
5238	IL1A	GDS5410	Homo sapiens	8
5239	Gdpd2	GDS5201	Mus musculus	6
5240	Cldn8	GDS5201	Mus musculus	6
5241	LPIN1	GDS5409	Homo sapiens	8
5242	IFIT1	GDS5409	Homo sapiens	8
5243	UHRF1	GDS5409	Homo sapiens	8
5244	MSH2	GDS2506	Homo sapiens	51
5245	RARRES2	GDS2506	Homo sapiens	51
5246	ECD	GDS2506	Homo sapiens	51
5247	CHKB-CPT1B	GDS2506	Homo sapiens	51
5248	GSR	GDS2506	Homo sapiens	51
5249	HMGCR	GDS5409	Homo sapiens	8
5250	FDFT1	GDS5409	Homo sapiens	8
5251	SVIL	GDS5409	Homo sapiens	8
5252	AGR2	GDS5409	Homo sapiens	8
5253	CEMIP	GDS5409	Homo sapiens	8
5254	MSMO1	GDS5409	Homo sapiens	8
5255	RPL15	GDS2777	Homo sapiens	20
5256	CXCL8	GDS5409	Homo sapiens	8
5257	SCD	GDS5409	Homo sapiens	8
5258	FDFT1	GDS5409	Homo sapiens	8
5259	EZR	GDS2777	Homo sapiens	20
5260	C11orf96	GDS5410	Homo sapiens	8
5261	SLC2A14	GDS5410	Homo sapiens	8
5262	EREG	GDS5410	Homo sapiens	8
5263	LOC401317	GDS5410	Homo sapiens	8
5264	KLF6	GDS5410	Homo sapiens	8
5265	None	GDS2771	Homo sapiens	192
5266	None	GDS534	Homo sapiens	75
5267	None	GDS534	Homo sapiens	75
5268	MT1F	GDS1204	Homo sapiens	18
5269	MT1F	GDS1204	Homo sapiens	18
5270	CALM3	GDS1204	Homo sapiens	18
5271	EEF1D	GDS1204	Homo sapiens	18
5272	ZNF655	GDS2506	Homo sapiens	51
5273	DCAF12	GDS2506	Homo sapiens	51
5274	ABL2	GDS5410	Homo sapiens	8
5275	SFTPC	GDS1312	Homo sapiens	10
5276	HBB	GDS1312	Homo sapiens	10
5277	HBA2	GDS1312	Homo sapiens	10
5278	HBA2	GDS1312	Homo sapiens	10
5279	HBB	GDS1312	Homo sapiens	10
5280	HBA2	GDS1312	Homo sapiens	10
5281	AKR1C1	GDS1312	Homo sapiens	10
5282	HBA2	GDS1312	Homo sapiens	10
5283	HBA2	GDS1312	Homo sapiens	10
5284	AKR1C1	GDS1312	Homo sapiens	10
5285	HBB	GDS1312	Homo sapiens	10
5286	HBA2	GDS1312	Homo sapiens	10
5287	SFTPC	GDS1312	Homo sapiens	10
5288	SFTPD	GDS1312	Homo sapiens	10
5289	SFTPC	GDS1312	Homo sapiens	10
5290	SFTPC	GDS1312	Homo sapiens	10
5291	COL1A1	GDS1312	Homo sapiens	10
5292	COL3A1	GDS1312	Homo sapiens	10
5293	RGCC	GDS1312	Homo sapiens	10
5294	LOC101930400	GDS1312	Homo sapiens	10
5295	LOC101930400	GDS1312	Homo sapiens	10
5296	CEACAM6	GDS1312	Homo sapiens	10
5297	LAMP3	GDS1312	Homo sapiens	10
5298	CSTA	GDS1312	Homo sapiens	10
5299	FBP1	GDS1312	Homo sapiens	10
5300	FOS	GDS1312	Homo sapiens	10
5301	AKR1C3	GDS1312	Homo sapiens	10
5302	SCGB1A1	GDS1312	Homo sapiens	10
5303	PFN2	GDS1312	Homo sapiens	10
5304	ALOX5AP	GDS1312	Homo sapiens	10
5305	FHL1	GDS1312	Homo sapiens	10
5306	CEACAM6	GDS1312	Homo sapiens	10
5307	MARCO	GDS1312	Homo sapiens	10
5308	IGFBP2	GDS1312	Homo sapiens	10
5309	SFTPC	GDS1312	Homo sapiens	10
5310	MRC1	GDS1312	Homo sapiens	10
5311	ALOX5	GDS1312	Homo sapiens	10
5312	COL1A2	GDS1312	Homo sapiens	10
5313	GPRC5A	GDS1312	Homo sapiens	10
5314	FCN3	GDS1312	Homo sapiens	10
5315	ICAM1	GDS1312	Homo sapiens	10
5316	SFN	GDS1312	Homo sapiens	10
5317	SFTPB	GDS1312	Homo sapiens	10
5318	SFTPB	GDS1312	Homo sapiens	10
5319	GPX3	GDS1312	Homo sapiens	10
5320	EPAS1	GDS1312	Homo sapiens	10
5321	COL3A1	GDS1312	Homo sapiens	10
5322	GPX3	GDS1312	Homo sapiens	10
5323	KRT19	GDS1312	Homo sapiens	10
5324	CD24	GDS1312	Homo sapiens	10
5325	CD52	GDS1312	Homo sapiens	10
5326	AQP1	GDS1312	Homo sapiens	10
5327	MUC1	GDS1312	Homo sapiens	10
5328	EMP2	GDS1312	Homo sapiens	10
5329	GPRC5A	GDS1312	Homo sapiens	10
5330	EFEMP1	GDS1312	Homo sapiens	10
5331	DPYSL2	GDS1312	Homo sapiens	10
5332	HIST2H2AA4	GDS1312	Homo sapiens	10
5333	VSIG4	GDS1312	Homo sapiens	10
5334	KLF4	GDS1312	Homo sapiens	10
5335	TGFBR2	GDS1312	Homo sapiens	10
5336	TIMP3	GDS1312	Homo sapiens	10
5337	FOLR1	GDS1312	Homo sapiens	10
5338	ATF3	GDS1312	Homo sapiens	10
5339	ABCA3	GDS1312	Homo sapiens	10
5340	DRAM1	GDS1312	Homo sapiens	10
5341	CRIP1	GDS1312	Homo sapiens	10
5342	MMP9	GDS1312	Homo sapiens	10
5343	RBP1	GDS1312	Homo sapiens	10
5344	FMO2	GDS1312	Homo sapiens	10
5345	IGF2BP3	GDS1312	Homo sapiens	10
5346	SFN	GDS1312	Homo sapiens	10
5347	SFTPB	GDS1312	Homo sapiens	10
5348	A2M	GDS1312	Homo sapiens	10
5349	DUSP1	GDS1312	Homo sapiens	10
5350	MIF	GDS1312	Homo sapiens	10
5351	LOC101928830	GDS1312	Homo sapiens	10
5352	ZFP36	GDS1312	Homo sapiens	10
5353	PECAM1	GDS1312	Homo sapiens	10
5354	SLC34A2	GDS1312	Homo sapiens	10
5355	MGP	GDS1312	Homo sapiens	10
5356	VWF	GDS1312	Homo sapiens	10
5357	HLA-E	GDS1312	Homo sapiens	10
5358	CAT	GDS1312	Homo sapiens	10
5359	CCL2	GDS1312	Homo sapiens	10
5360	HOPX	GDS1312	Homo sapiens	10
5361	ACP5	GDS1312	Homo sapiens	10
5362	TYROBP	GDS1312	Homo sapiens	10
5363	RGS2	GDS1312	Homo sapiens	10
5364	CD93	GDS1312	Homo sapiens	10
5365	NR4A1	GDS1312	Homo sapiens	10
5366	IGFBP3	GDS1312	Homo sapiens	10
5367	CTGF	GDS1312	Homo sapiens	10
5368	CYR61	GDS1312	Homo sapiens	10
5369	MRPL3	GDS1312	Homo sapiens	10
5370	PECAM1	GDS1312	Homo sapiens	10
5371	CTSS	GDS1312	Homo sapiens	10
5372	HMGA1	GDS1312	Homo sapiens	10
5373	LPCAT1	GDS1312	Homo sapiens	10
5374	CAST	GDS1312	Homo sapiens	10
5375	PECAM1	GDS1312	Homo sapiens	10
5376	FBLN5	GDS1312	Homo sapiens	10
5377	KLF6	GDS1312	Homo sapiens	10
5378	THBS2	GDS1312	Homo sapiens	10
5379	IGFBP3	GDS1312	Homo sapiens	10
5380	CA12	GDS1312	Homo sapiens	10
5381	ECT2	GDS1312	Homo sapiens	10
5382	GAPDH	GDS1312	Homo sapiens	10
5383	SERPINA1	GDS1312	Homo sapiens	10
5384	SPTBN1	GDS1312	Homo sapiens	10
5385	PTGDS	GDS1312	Homo sapiens	10
5386	GPI	GDS1312	Homo sapiens	10
5387	SDC1	GDS1312	Homo sapiens	10
5388	TNS1	GDS1312	Homo sapiens	10
5389	HLA-DMA	GDS1312	Homo sapiens	10
5390	ENO1	GDS1312	Homo sapiens	10
5391	MUC1	GDS1312	Homo sapiens	10
5392	ALDH2	GDS1312	Homo sapiens	10
5393	SPARCL1	GDS1312	Homo sapiens	10
5394	MIR4640	GDS1312	Homo sapiens	10
5395	TACC1	GDS1312	Homo sapiens	10
5396	ICAM1	GDS1312	Homo sapiens	10
5397	MYH10	GDS1312	Homo sapiens	10
5398	HSPD1	GDS1312	Homo sapiens	10
5399	DUSP6	GDS1312	Homo sapiens	10
5400	TPD52L1	GDS1312	Homo sapiens	10
5401	TRIB1	GDS1312	Homo sapiens	10
5402	TNS1	GDS1312	Homo sapiens	10
5403	MLPH	GDS1312	Homo sapiens	10
5404	AQP1	GDS1312	Homo sapiens	10
5405	TNXB	GDS1312	Homo sapiens	10
5406	TNXB	GDS1312	Homo sapiens	10
5407	TRIM22	GDS1312	Homo sapiens	10
5408	TREM1	GDS1312	Homo sapiens	10
5409	CYB5A	GDS1312	Homo sapiens	10
5410	HSD17B11	GDS1312	Homo sapiens	10
5411	MFAP2	GDS1312	Homo sapiens	10
5412	KANK2	GDS1312	Homo sapiens	10
5413	PTPRF	GDS1312	Homo sapiens	10
5414	KCTD12	GDS1312	Homo sapiens	10
5415	SORBS1	GDS1312	Homo sapiens	10
5416	CTSH	GDS1312	Homo sapiens	10
5417	RHOB	GDS1312	Homo sapiens	10
5418	ATP2A2	GDS1312	Homo sapiens	10
5419	FAM162A	GDS1312	Homo sapiens	10
5420	MIR4640	GDS1312	Homo sapiens	10
5421	ARL6IP5	GDS1312	Homo sapiens	10
5422	MAOA	GDS1312	Homo sapiens	10
5423	TNFSF13	GDS1312	Homo sapiens	10
5424	JUP	GDS1312	Homo sapiens	10
5425	YWHAZ	GDS1312	Homo sapiens	10
5426	ENG	GDS1312	Homo sapiens	10
5427	ANXA4	GDS1312	Homo sapiens	10
5428	ASAH1	GDS1312	Homo sapiens	10
5429	HEG1	GDS1312	Homo sapiens	10
5430	PDLIM2	GDS1312	Homo sapiens	10
5431	FEZ1	GDS1312	Homo sapiens	10
5432	SERINC1	GDS1312	Homo sapiens	10
5433	GAPDH	GDS1312	Homo sapiens	10
5434	C1QA	GDS1312	Homo sapiens	10
5435	CYB5A	GDS1312	Homo sapiens	10
5436	CYB5A	GDS1312	Homo sapiens	10
5437	STOM	GDS1312	Homo sapiens	10
5438	PMP22	GDS1312	Homo sapiens	10
5439	TXN	GDS1312	Homo sapiens	10
5440	SDC4	GDS1312	Homo sapiens	10
5441	PPP1R15A	GDS1312	Homo sapiens	10
5442	RFTN1	GDS1312	Homo sapiens	10
5443	CLDN5	GDS1312	Homo sapiens	10
5444	PLTP	GDS1312	Homo sapiens	10
5445	RPS11	GDS1312	Homo sapiens	10
5446	TNXB	GDS1312	Homo sapiens	10
5447	TJP1	GDS1312	Homo sapiens	10
5448	DUSP6	GDS1312	Homo sapiens	10
5449	GGT2	GDS1312	Homo sapiens	10
5450	TMEM204	GDS1312	Homo sapiens	10
5451	GGT2	GDS1312	Homo sapiens	10
5452	CKAP4	GDS1312	Homo sapiens	10
5453	DUOX1	GDS1312	Homo sapiens	10
5454	GAPDH	GDS1312	Homo sapiens	10
5455	TPI1	GDS1312	Homo sapiens	10
5456	TUBB	GDS1312	Homo sapiens	10
5457	SLPI	GDS1312	Homo sapiens	10
5458	MIR4640	GDS1312	Homo sapiens	10
5459	SDC1	GDS1312	Homo sapiens	10
5460	TNFSF12-TNFSF13	GDS1312	Homo sapiens	10
5461	CDK4	GDS1312	Homo sapiens	10
5462	IRF6	GDS1312	Homo sapiens	10
5463	RANBP1	GDS1312	Homo sapiens	10
5464	MAP4	GDS1312	Homo sapiens	10
5465	IDH2	GDS1312	Homo sapiens	10
5466	LRRC32	GDS1312	Homo sapiens	10
5467	SPTBN1	GDS1312	Homo sapiens	10
5468	TUBA4A	GDS1312	Homo sapiens	10
5469	NEDD9	GDS1312	Homo sapiens	10
5470	LPP	GDS1312	Homo sapiens	10
5471	LOC101926921	GDS1312	Homo sapiens	10
5472	CEBPD	GDS1312	Homo sapiens	10
5473	HSPB1	GDS1312	Homo sapiens	10
5474	SEPP1	GDS1312	Homo sapiens	10
5475	PTRF	GDS1312	Homo sapiens	10
5476	SDCBP	GDS1312	Homo sapiens	10
5477	RAN	GDS1312	Homo sapiens	10
5478	APLP2	GDS1312	Homo sapiens	10
5479	CYP27A1	GDS1312	Homo sapiens	10
5480	SRPRB	GDS1312	Homo sapiens	10
5481	NME1	GDS1312	Homo sapiens	10
5482	SULT1A1	GDS1312	Homo sapiens	10
5483	HN1	GDS1312	Homo sapiens	10
5484	FPR1	GDS1312	Homo sapiens	10
5485	PNRC2	GDS1312	Homo sapiens	10
5486	SLC27A3	GDS1312	Homo sapiens	10
5487	RBPMS	GDS1312	Homo sapiens	10
5488	TNFSF12-TNFSF13	GDS1312	Homo sapiens	10
5489	PTPRF	GDS1312	Homo sapiens	10
5490	PKM	GDS1312	Homo sapiens	10
5491	ATP1B3	GDS1312	Homo sapiens	10
5492	H2AFZ	GDS1312	Homo sapiens	10
5493	GLUL	GDS1312	Homo sapiens	10
5494	FBL	GDS1312	Homo sapiens	10
5495	SEC14L1	GDS1312	Homo sapiens	10
5496	PRDX4	GDS1312	Homo sapiens	10
5497	GIMAP1-GIMAP5	GDS1312	Homo sapiens	10
5498	CTSB	GDS1312	Homo sapiens	10
5499	PFKP	GDS1312	Homo sapiens	10
5500	STXBP1	GDS1312	Homo sapiens	10
5501	CFI	GDS1312	Homo sapiens	10
5502	APLP2	GDS1312	Homo sapiens	10
5503	TPI1	GDS1312	Homo sapiens	10
5504	CSRP1	GDS1312	Homo sapiens	10
5505	CCND3	GDS1312	Homo sapiens	10
5506	SNRPE	GDS1312	Homo sapiens	10
5507	OLA1	GDS1312	Homo sapiens	10
5508	SULT1A1	GDS1312	Homo sapiens	10
5509	HDAC1	GDS1312	Homo sapiens	10
5510	NONO	GDS1312	Homo sapiens	10
5511	TSPAN4	GDS1312	Homo sapiens	10
5512	ACAT1	GDS1312	Homo sapiens	10
5513	CDCA4	GDS1312	Homo sapiens	10
5514	GAB2	GDS1312	Homo sapiens	10
5515	PSMB2	GDS1312	Homo sapiens	10
5516	SNRPG	GDS1312	Homo sapiens	10
5517	COPB2	GDS1312	Homo sapiens	10
5518	CKAP4	GDS1312	Homo sapiens	10
5519	MCM3	GDS1312	Homo sapiens	10
5520	LSM5	GDS1312	Homo sapiens	10
5521	APLP2	GDS1312	Homo sapiens	10
5522	NDUFB4	GDS1312	Homo sapiens	10
5523	CAPN2	GDS1312	Homo sapiens	10
5524	UQCRHL	GDS1312	Homo sapiens	10
5525	TFG	GDS1312	Homo sapiens	10
5526	ATP5G3	GDS1312	Homo sapiens	10
5527	SERPINB6	GDS1312	Homo sapiens	10
5528	FKBP4	GDS1312	Homo sapiens	10
5529	SLX1B-SULT1A4	GDS1312	Homo sapiens	10
5530	ILF2	GDS1312	Homo sapiens	10
5531	CTDSPL	GDS1312	Homo sapiens	10
5532	MAGED1	GDS1312	Homo sapiens	10
5533	GLUL	GDS1312	Homo sapiens	10
5534	SPTAN1	GDS1312	Homo sapiens	10
5535	TNFRSF21	GDS1312	Homo sapiens	10
5536	TGOLN2	GDS1312	Homo sapiens	10
5537	SLX1B-SULT1A4	GDS1312	Homo sapiens	10
5538	QSOX1	GDS1312	Homo sapiens	10
5539	CIRBP	GDS1312	Homo sapiens	10
5540	NONO	GDS1312	Homo sapiens	10
5541	PRDX2	GDS1312	Homo sapiens	10
5542	MCL1	GDS1312	Homo sapiens	10
5543	TOMM20	GDS1312	Homo sapiens	10
5544	SASH1	GDS1312	Homo sapiens	10
5545	SULT1A2	GDS1312	Homo sapiens	10
5546	TMX2-CTNND1	GDS1312	Homo sapiens	10
5547	PPP3CB	GDS1312	Homo sapiens	10
5548	RAE1	GDS1312	Homo sapiens	10
5549	HPCAL1	GDS1312	Homo sapiens	10
5550	LST1	GDS1312	Homo sapiens	10
5551	ASAH1	GDS1312	Homo sapiens	10
5552	HIGD1B	GDS1312	Homo sapiens	10
5553	ACSL1	GDS1312	Homo sapiens	10
5554	GYPC	GDS1312	Homo sapiens	10
5555	MRPL15	GDS1312	Homo sapiens	10
5556	ACSL4	GDS1312	Homo sapiens	10
5557	FCGRT	GDS1312	Homo sapiens	10
5558	IQGAP1	GDS1312	Homo sapiens	10
5559	NIT2	GDS1312	Homo sapiens	10
5560	AP2A2	GDS1312	Homo sapiens	10
5561	PRMT1	GDS1312	Homo sapiens	10
5562	CYC1	GDS1312	Homo sapiens	10
5563	HNRNPC	GDS1312	Homo sapiens	10
5564	ICAM1	GDS1312	Homo sapiens	10
5565	MAP4	GDS1312	Homo sapiens	10
5566	BCAT1	GDS5418	Homo sapiens	8
5567	EPB41L4A-AS1	GDS5418	Homo sapiens	8
5568	HSPA2	GDS5418	Homo sapiens	8
5569	LURAP1L	GDS5418	Homo sapiens	8
5570	BCAT1	GDS5418	Homo sapiens	8
5571	MCM4	GDS5418	Homo sapiens	8
5572	LINC00662	GDS5418	Homo sapiens	8
5573	FEN1	GDS5418	Homo sapiens	8
5574	IFRD1	GDS5418	Homo sapiens	8
5575	SEL1L	GDS5418	Homo sapiens	8
5576	DNAJB9	GDS5418	Homo sapiens	8
5577	WIPI1	GDS5418	Homo sapiens	8
5578	GLS	GDS5418	Homo sapiens	8
5579	MOCOS	GDS5418	Homo sapiens	8
5580	SKP2	GDS5418	Homo sapiens	8
5581	CXCL8	GDS5418	Homo sapiens	8
5582	PHGDH	GDS5418	Homo sapiens	8
5583	GATSL2	GDS5418	Homo sapiens	8
5584	SPIRE1	GDS5418	Homo sapiens	8
5585	MCM10	GDS5418	Homo sapiens	8
5586	CXCL2	GDS5418	Homo sapiens	8
5587	CDK2	GDS5418	Homo sapiens	8
5588	SFXN1	GDS5418	Homo sapiens	8
5589	ZNF367	GDS5418	Homo sapiens	8
5590	SLC40A1	GDS5418	Homo sapiens	8
5591	SEL1L	GDS5418	Homo sapiens	8
5592	ERO1B	GDS5418	Homo sapiens	8
5593	NUCB2	GDS5418	Homo sapiens	8
5594	CDT1	GDS5418	Homo sapiens	8
5595	ATAD2	GDS5418	Homo sapiens	8
5596	HELLS	GDS5418	Homo sapiens	8
5597	PLPP5	GDS5418	Homo sapiens	8
5598	ZNRF3	GDS5418	Homo sapiens	8
5599	EMP2	GDS5418	Homo sapiens	8
5600	LARP6	GDS5418	Homo sapiens	8
5601	MSTO2P	GDS5418	Homo sapiens	8
5602	PLAU	GDS5418	Homo sapiens	8
5603	ARHGEF2	GDS5418	Homo sapiens	8
5604	AADAC	GDS5418	Homo sapiens	8
5605	POLE2	GDS5418	Homo sapiens	8
5606	CDKN2C	GDS5418	Homo sapiens	8
5607	Tppp3	GDS5201	Mus musculus	6
5608	MIR6751	GDS5418	Homo sapiens	8
5609	PLPP5	GDS5418	Homo sapiens	8
5610	DTL	GDS5418	Homo sapiens	8
5611	MSTO1	GDS5418	Homo sapiens	8
5612	FAM111A	GDS5418	Homo sapiens	8
5613	MEGF9	GDS5418	Homo sapiens	8
5614	DNAJC3	GDS5418	Homo sapiens	8
5615	EML2	GDS5418	Homo sapiens	8
5616	SYT1	GDS5418	Homo sapiens	8
5617	SLC2A3	GDS5418	Homo sapiens	8
5618	Cped1	GDS5201	Mus musculus	6
5619	LOC101929475	GDS5418	Homo sapiens	8
5620	JMY	GDS5418	Homo sapiens	8
5621	FAR1	GDS5418	Homo sapiens	8
5622	MSTO1	GDS5418	Homo sapiens	8
5623	MCM10	GDS5418	Homo sapiens	8
5624	ADPRM	GDS5418	Homo sapiens	8
5625	DDX52	GDS5418	Homo sapiens	8
5626	MTUS1	GDS5418	Homo sapiens	8
5627	TNFRSF10B	GDS5418	Homo sapiens	8
5628	STC2	GDS5418	Homo sapiens	8
5629	TRIB3	GDS5418	Homo sapiens	8
5630	Pcolce2	GDS5201	Mus musculus	6
5631	Ramp2	GDS5201	Mus musculus	6
5632	NBPF1	GDS5418	Homo sapiens	8
5633	FAM24B	GDS5418	Homo sapiens	8
5634	DEPDC7	GDS5418	Homo sapiens	8
5635	APTR	GDS5418	Homo sapiens	8
5636	PDIA3	GDS5418	Homo sapiens	8
5637	CDCP1	GDS5418	Homo sapiens	8
5638	MTUS1	GDS5418	Homo sapiens	8
5639	MIR6756	GDS5418	Homo sapiens	8
5640	Mme	GDS5201	Mus musculus	6
5641	SOAT1	GDS5418	Homo sapiens	8
5642	ERN1	GDS5418	Homo sapiens	8
5643	AGFG1	GDS5418	Homo sapiens	8
5644	ETNK1	GDS5418	Homo sapiens	8
5645	TMEM50B	GDS5418	Homo sapiens	8
5646	RRN3P1	GDS5418	Homo sapiens	8
5647	MIR4738	GDS5418	Homo sapiens	8
5648	TNFRSF10B	GDS5418	Homo sapiens	8
5649	IL11	GDS5418	Homo sapiens	8
5650	TAGLN	GDS5418	Homo sapiens	8
5651	SEC24D	GDS5418	Homo sapiens	8
5652	DNAJC3	GDS5418	Homo sapiens	8
5653	C7	GDS5201	Mus musculus	6
5654	Sdpr	GDS5201	Mus musculus	6
5655	GPCPD1	GDS5418	Homo sapiens	8
5656	LINC-PINT	GDS5418	Homo sapiens	8
5657	AQR	GDS5418	Homo sapiens	8
5658	MCM4	GDS5418	Homo sapiens	8
5659	CLIP4	GDS5418	Homo sapiens	8
5660	ASF1B	GDS5418	Homo sapiens	8
5661	APAF1	GDS5418	Homo sapiens	8
5662	SPIRE1	GDS5418	Homo sapiens	8
5663	Actc1	GDS5201	Mus musculus	6
5664	Igfbp6	GDS5201	Mus musculus	6
5665	TLCD2	GDS5418	Homo sapiens	8
5666	SLFN5	GDS5418	Homo sapiens	8
5667	USP53	GDS5418	Homo sapiens	8
5668	OSGEPL1	GDS5418	Homo sapiens	8
5669	TUBE1	GDS5418	Homo sapiens	8
5670	VAV3	GDS5418	Homo sapiens	8
5671	DNA2	GDS5418	Homo sapiens	8
5672	LCN2	GDS5418	Homo sapiens	8
5673	SERPINB8	GDS5418	Homo sapiens	8
5674	GLS	GDS5418	Homo sapiens	8
5675	Gpm6a	GDS5201	Mus musculus	6
5676	Tmem100	GDS5201	Mus musculus	6
5677	CARS	GDS5418	Homo sapiens	8
5678	BRIP1	GDS5418	Homo sapiens	8
5679	RBFOX3	GDS5418	Homo sapiens	8
5680	SARS	GDS5418	Homo sapiens	8
5681	OCLN	GDS5418	Homo sapiens	8
5682	NLN	GDS5418	Homo sapiens	8
5683	NAPEPLD	GDS5418	Homo sapiens	8
5684	PLPP5	GDS5418	Homo sapiens	8
5685	TCF19	GDS5418	Homo sapiens	8
5686	SESN2	GDS5418	Homo sapiens	8
5687	GRSF1	GDS5418	Homo sapiens	8
5688	ID4	GDS5418	Homo sapiens	8
5689	PSMD11	GDS5418	Homo sapiens	8
5690	BARD1	GDS5418	Homo sapiens	8
5691	EXO1	GDS5418	Homo sapiens	8
5692	ZHX2	GDS5418	Homo sapiens	8
5693	KLHDC7A	GDS5418	Homo sapiens	8
5694	ENAH	GDS5418	Homo sapiens	8
5695	Hmcn1	GDS5201	Mus musculus	6
5696	LOC100507424	GDS5418	Homo sapiens	8
5697	SESN2	GDS5418	Homo sapiens	8
5698	FICD	GDS5418	Homo sapiens	8
5699	TMEM45A	GDS5418	Homo sapiens	8
5700	ZNF33B	GDS5418	Homo sapiens	8
5701	MALT1	GDS5418	Homo sapiens	8
5702	FGFBP1	GDS5418	Homo sapiens	8
5703	PPP1R15A	GDS5418	Homo sapiens	8
5704	CASC10	GDS5418	Homo sapiens	8
5705	C14orf28	GDS5418	Homo sapiens	8
5706	TVP23C-CDRT4	GDS5418	Homo sapiens	8
5707	C9orf40	GDS5418	Homo sapiens	8
5708	PRPH	GDS5418	Homo sapiens	8
5709	CALR	GDS5418	Homo sapiens	8
5710	ZNF451	GDS5418	Homo sapiens	8
5711	Scn3b	GDS5201	Mus musculus	6
5712	Slc7a8	GDS5201	Mus musculus	6
5713	Hmcn1	GDS5201	Mus musculus	6
5714	FNIP1	GDS5418	Homo sapiens	8
5715	ALS2	GDS5418	Homo sapiens	8
5716	ANKRD9	GDS5418	Homo sapiens	8
5717	TMEM64	GDS5418	Homo sapiens	8
5718	AKNA	GDS5418	Homo sapiens	8
5719	BMP4	GDS5418	Homo sapiens	8
5720	ORC1	GDS5418	Homo sapiens	8
5721	CDC25A	GDS5418	Homo sapiens	8
5722	NREP	GDS5418	Homo sapiens	8
5723	ETS1	GDS5418	Homo sapiens	8
5724	Kdr	GDS5201	Mus musculus	6
5725	Hmcn1	GDS5201	Mus musculus	6
5726	None	GDS5418	Homo sapiens	8
5727	LINC00473	GDS5418	Homo sapiens	8
5728	RNF43	GDS5418	Homo sapiens	8
5729	WDHD1	GDS5418	Homo sapiens	8
5730	MPHOSPH9	GDS5418	Homo sapiens	8
5731	RBM12	GDS5418	Homo sapiens	8
5732	CXCL8	GDS5418	Homo sapiens	8
5733	MAFF	GDS5418	Homo sapiens	8
5734	EGR1	GDS5418	Homo sapiens	8
5735	PLEKHA4	GDS5409	Homo sapiens	8
5736	Pon1	GDS5201	Mus musculus	6
5737	BC028528	GDS5201	Mus musculus	6
5738	CEP128	GDS5418	Homo sapiens	8
5739	ST8SIA4	GDS5418	Homo sapiens	8
5740	SOX2	GDS5418	Homo sapiens	8
5741	None	GDS5418	Homo sapiens	8
5742	ARHGEF26	GDS5418	Homo sapiens	8
5743	GPT2	GDS5418	Homo sapiens	8
5744	HELLS	GDS5418	Homo sapiens	8
5745	XIAP	GDS5418	Homo sapiens	8
5746	LHX2	GDS5418	Homo sapiens	8
5747	GLS	GDS5418	Homo sapiens	8
5748	OAS1	GDS5418	Homo sapiens	8
5749	ATF3	GDS5418	Homo sapiens	8
5750	Il2rg	GDS5201	Mus musculus	6
5751	Trpv6	GDS5201	Mus musculus	6
5752	Ptprd	GDS5201	Mus musculus	6
5753	Hmcn1	GDS5201	Mus musculus	6
5754	DNAJC3	GDS5418	Homo sapiens	8
5755	ATAD2	GDS5418	Homo sapiens	8
5756	E2F2	GDS5418	Homo sapiens	8
5757	PNISR	GDS5418	Homo sapiens	8
5758	MTERF2	GDS5418	Homo sapiens	8
5759	RWDD2B	GDS5418	Homo sapiens	8
5760	GTPBP2	GDS5418	Homo sapiens	8
5761	CHAC1	GDS5418	Homo sapiens	8
5762	NCOA1	GDS5418	Homo sapiens	8
5763	FYN	GDS5418	Homo sapiens	8
5764	NR2F1	GDS5418	Homo sapiens	8
5765	PCNX2	GDS5418	Homo sapiens	8
